Espece;Int;Pente;Seuil50;Seuil90;FN50;FN90;FP50;FP90;Int;Pente;Seuil50;Seuil90;FN50;FN90;FP50;FP90;Perftot;PerfP2;ratio;;PerfPFtot;Espece;FN50;FN90;FP50;FP90;Int;Pente;Seuil50;Seuil90
chirp;-9.796506402;46.92990813;0.209;0.256;0.08;0.12;0.041666667;0;-9.56313307;44.09513566;0.217;0.267;0.08;0.08;0;0;0.060416667;0.04;0.662068966;0.662068966;0.060416667;chirp;0.08;0.12;0.041666667;0;-9.621801388;46.06782011;0.209;0.257
Rhifer;-5.993856471;15.08754459;0.398;0.543;0.298076923;0.298076923;0.058064516;0.058064516;-5.889843127;16.57369156;0.356;0.488;0.281553398;0.296116505;0.051282051;0.052287582;0.17807072;0.170309884;0.956417115;0.99245238;0.171605094;Rhifer;0.291262136;0.291262136;0.051948052;0.051948052;-5.851562087;15.04050575;0.39;0.536
Rhihip;-5.969614204;11.40700358;0.524;0.716;0.225;0.35;0.099585062;0.056994819;-5.819466659;11.41414973;0.51;0.703;0.221428571;0.321428571;0.084033613;0.054726368;0.18289497;0.170404281;0.931705672;0.933067009;0.182628128;Rhihip;0.225;0.353571429;0.099585062;0.052356021;-5.790678559;11.13511299;0.521;0.718
Barbar;-5.673386605;11.75110344;0.483;0.67;0.291366906;0.356115108;0.08372093;0.057894737;-5.564489618;11.74868047;0.474;0.661;0.321285141;0.389558233;0.10106383;0.067484663;0.19727442;0.219847966;1.114427132;1.033526108;0.212716413;Barbar;0.309236948;0.385542169;0.094736842;0.061349693;-5.561291853;11.24861482;0.495;0.69
Rusnit;-5.761885307;27.00734744;0.214;0.295;0.369491525;0.379661017;0.046153846;0.021390374;-5.999840427;37.36156155;0.161;0.22;0.397959184;0.413265306;0.070866142;0.025423729;0.204174191;0.22687859;1.111201123;1.001041207;0.226642608;Rusnit;0.408163265;0.408163265;0.056910569;0.033333333;-5.880405916;32.26404124;0.183;0.251
Myonat;-5.634559403;11.86614368;0.475;0.661;0.338645418;0.474103586;0.117021277;0.050359712;-5.528792174;11.69073573;0.473;0.661;0.331950207;0.443983402;0.095505618;0.042857143;0.245032498;0.228574093;0.932831744;0.962409212;0.237501979;Myonat;0.32780083;0.452282158;0.119565217;0.050359712;-5.527766673;11.52009507;0.48;0.671
Nyclei;-4.935905731;10.51420089;0.47;0.679;0.382882883;0.45045045;0.121794872;0.057915058;-4.867531773;10.39089138;0.469;0.68;0.36097561;0.443902439;0.105802048;0.053941909;0.253260816;0.241155501;0.952202182;1.011251568;0.238472314;Nyclei;0.36097561;0.429268293;0.114864865;0.048780488;-4.875184583;10.49761466;0.465;0.674
Nycnoc;-5.915598202;13.74409497;0.431;0.591;0.398963731;0.492227979;0.165467626;0.066666667;-6.139379694;17.74192449;0.347;0.47;0.37012987;0.396103896;0.118181818;0.051020408;0.280831501;0.233858998;0.832737772;0.959975533;0.243609332;Nycnoc;0.344155844;0.435064935;0.151260504;0.043956044;-6.179570269;14.61424023;0.423;0.574
Lamsp.;-7.244082473;21.93899668;0.331;0.431;0.351851852;0.518518519;0.125;0.103448276;-6.954350212;18.69608095;0.372;0.49;0.377358491;0.528301887;0.153846154;0.137931034;0.274704662;0.299359391;1.089749951;1.159077941;0.258273737;Lamsp.;0.339622642;0.471698113;0.125;0.096774194;-7.11431275;21.74802941;0.328;0.429
Leppun;-4.219470191;9.460363122;0.447;0.679;0.35551142;0.550148957;0.120596206;0.111764706;-4.315732499;9.578325998;0.451;0.68;0.295641932;0.551236749;0.123167155;0.120092379;0.284505322;0.272534554;0.957924272;1.017906068;0.267740376;Leppun;0.293286219;0.542991755;0.126637555;0.108045977;-4.368656949;9.338141008;0.468;0.704
Pippip;-3.700038171;8.471925149;0.437;0.697;0.318051576;0.58739255;0.14017341;0.119804401;-3.791687392;8.188349216;0.464;0.732;0.288392213;0.583273252;0.143972246;0.120243531;0.291355484;0.283970311;0.974652361;1.004162485;0.282793188;Pippip;0.281903389;0.584715213;0.147989735;0.116564417;-3.82796986;8.341092474;0.459;0.723
Pleaus;-5.939604546;11.86576121;0.501;0.686;0.351694915;0.555084746;0.172972973;0.110169492;-5.900088719;11.82314875;0.5;0.685;0.308035714;0.571428571;0.171122995;0.127272727;0.297480531;0.294465002;0.989863103;1.016773712;0.289607214;Pleaus;0.330357143;0.540178571;0.175824176;0.112068966;-5.885720467;11.67405029;0.505;0.693
Cympud;-7.467398698;62.2463892;0.12;0.156;0.461538462;0.512820513;0.16;0.05;-7.06821093;46.59940666;0.152;0.199;0.512820513;0.538461538;0.136363636;0.052631579;0.296089744;0.310069317;1.047213973;1.047213973;0.296089744;Cympud;0.461538462;0.512820513;0.16;0.05;-7.293299422;60.78611347;0.12;0.157
Tetvir;-3.839332428;10.95821523;0.351;0.551;0.448083624;0.601393728;0.136314068;0.110419907;-3.939088148;11.46248808;0.344;0.536;0.421343146;0.578656854;0.126388889;0.101960784;0.324052832;0.307087418;0.94764615;0.985117137;0.311726806;Tetvir;0.421343146;0.585096596;0.130013831;0.110453649;-3.952681976;11.40274117;0.347;0.54
Pipkuh;-3.935647122;10.11542846;0.39;0.607;0.447322971;0.57253886;0.131614654;0.1;-3.873786517;9.941049967;0.39;0.611;0.450148075;0.570582428;0.128325509;0.101239669;0.312869121;0.31257392;0.999056472;0.999179586;0.312830571;Pipkuh;0.446199408;0.573543929;0.131578947;0.1;-3.866704605;9.764599849;0.396;0.622
Minsch;-5.502466359;10.69059862;0.515;0.721;0.439393939;0.579545455;0.2;0.082644628;-5.35750292;9.923424881;0.54;0.762;0.421455939;0.586206897;0.196808511;0.092436975;0.325396006;0.32422708;0.996407684;1.020864571;0.317600482;Minsch;0.429118774;0.559386973;0.194594595;0.087301587;-5.350126413;10.65721406;0.503;0.709
Pippyg;-4.993728468;8.884931398;0.563;0.81;0.37398374;0.601626016;0.176470588;0.147826087;-4.908838834;8.6498083;0.568;0.822;0.347921225;0.636761488;0.174515235;0.165829146;0.324976608;0.331256774;1.019324978;1.031798922;0.3210478;Pippyg;0.33916849;0.623632385;0.177111717;0.144278607;-4.993509006;8.658151865;0.577;0.831
Yerray;-5.768708319;15.7866469;0.366;0.505;0.524096386;0.626506024;0.177083333;0.114285714;-5.664644872;17.85467018;0.318;0.441;0.49382716;0.574074074;0.136842105;0.103896104;0.360492864;0.327159861;0.907534915;1.008188606;0.324502637;Yerray;0.487654321;0.580246914;0.161616162;0.068493151;-5.703609328;17.53037583;0.326;0.451
Hypsav;-5.183551814;10.23704603;0.507;0.721;0.478405316;0.641196013;0.190721649;0.084745763;-5.036273386;10.25479797;0.492;0.706;0.462068966;0.624137931;0.191709845;0.084033613;0.348767185;0.340487589;0.976260391;1.003410792;0.339330204;Hypsav;0.45862069;0.634482759;0.178010471;0.086206897;-5.03785292;9.966892785;0.506;0.726
Phanan;-4.907304692;12.9540152;0.379;0.549;0.551246537;0.609418283;0.160621762;0.113207547;-4.90266083;13.66282189;0.359;0.52;0.538461538;0.583333333;0.157894737;0.103448276;0.358623532;0.345784471;0.964199056;1.010557338;0.342172045;Phanan;0.528846154;0.573717949;0.164772727;0.101351351;-4.937673415;13.47858367;0.367;0.53
Eptser;-4.637318472;9.757768523;0.476;0.701;0.409618574;0.645107794;0.208888889;0.097046414;-4.668976424;9.636573944;0.485;0.713;0.389344262;0.696721311;0.219895288;0.09202454;0.340165418;0.34949635;1.027430574;1.014447619;0.344518873;Eptser;0.403688525;0.668032787;0.211382114;0.094972067;-4.661646285;9.610032858;0.486;0.714
piaf;-5.338582211;11.89500325;0.449;0.634;0.548523207;0.632911392;0.207407407;0.103092784;-5.221324425;12.27010585;0.426;0.605;0.527659574;0.617021277;0.183823529;0.134615385;0.372983698;0.365779941;0.980686136;1.010447805;0.361997858;piaf;0.531914894;0.604255319;0.172932331;0.138888889;-5.203402394;12.81563043;0.407;0.578
Myobec;-6.727529403;52.83445897;0.128;0.169;0.731707317;0.731707317;0;0;-6.567545871;40.3518877;0.163;0.218;0.731707317;0.780487805;0.153846154;0;0.365853659;0.416510319;1.138461538;1.138461538;0.365853659;Myobec;0.731707317;0.731707317;0;0;-6.549456703;50.64935199;0.13;0.173
Roeroe;-6.395548233;20.24459737;0.316;0.425;0.509433962;0.688679245;0.235294118;0.23255814;-6.949466798;30.28709394;0.23;0.302;0.583333333;0.766666667;0.242424242;0.125;0.416491366;0.429356061;1.030888262;1.105314481;0.38844697;Roeroe;0.566666667;0.65;0.212121212;0.125;-6.805784278;29.20411398;0.234;0.309
Testes;-5.044777274;14.11676742;0.358;0.514;0.59223301;0.702265372;0.202531646;0.171171171;-5.180729882;16.00004712;0.324;0.462;0.545081967;0.676229508;0.177777778;0.168421053;0.4170503;0.391877576;0.939641038;0.99471782;0.393958536;Testes;0.56557377;0.655737705;0.203007519;0.151515152;-5.141041553;15.20004489;0.339;0.483
Micagr;-7.30742752;38.18366444;0.192;0.249;0.567567568;0.648648649;0.2;0.133333333;-6.899576188;28.07090552;0.246;0.325;0.648648649;0.648648649;0.235294118;0.133333333;0.387387387;0.416481187;1.075102599;1.049305715;0.396911197;Micagr;0.567567568;0.648648649;0.238095238;0.133333333;-7.13431494;37.95591797;0.188;0.246
Myoema;-5.341274303;12.47278151;0.429;0.605;0.526923077;0.719230769;0.245398773;0.098765432;-5.174513053;12.13193446;0.427;0.608;0.523076923;0.734615385;0.253012048;0.148148148;0.397579513;0.414713126;1.043094809;1.043094809;0.397579513;Myoema;0.526923077;0.719230769;0.245398773;0.098765432;-5.168960507;12.10225971;0.428;0.609
Myodau;-4.917720513;15.43303043;0.319;0.462;0.595061728;0.659259259;0.226415094;0.103896104;-4.875952289;16.95513701;0.288;0.418;0.613941019;0.672922252;0.217391304;0.14084507;0.396158046;0.411274911;1.038158672;1.032239382;0.398429782;Myodau;0.605898123;0.664879357;0.222222222;0.100719424;-4.801623032;15.06157712;0.319;0.465
Tadten;-5.544484677;17.16108333;0.324;0.452;0.605263158;0.642105263;0.257425743;0.15;-5.350025507;17.95305461;0.299;0.421;0.597883598;0.645502646;0.224489796;0.12987013;0.413698541;0.399436542;0.965525625;0.977931236;0.408450541;Tadten;0.597883598;0.634920635;0.232323232;0.168674699;-5.421962976;18.26248643;0.297;0.418
Plaint;-5.547518332;17.38455457;0.32;0.446;0.570048309;0.739130435;0.293650794;0.068965517;-5.500372689;17.01768723;0.324;0.453;0.558375635;0.670050761;0.25;0.057971014;0.417948764;0.384099353;0.91901062;0.930534522;0.412772813;Plaint;0.553299492;0.736040609;0.290322581;0.071428571;-5.457312497;17.22904135;0.317;0.445
Pipnat;-5.131325747;8.792229272;0.584;0.834;0.467787115;0.882352941;0.309090909;0.066666667;-5.166919202;8.992278526;0.575;0.819;0.425867508;0.858044164;0.274900398;0.134615385;0.431474408;0.423356864;0.981186499;1.010412073;0.418994265;Pipnat;0.425867508;0.883280757;0.291828794;0.075;-5.175554764;8.78127701;0.59;0.84
noise;-3.256587804;10.62476011;0.307;0.514;0.493617021;0.839458414;0.262119504;0.246823956;-3.664800846;13.29531804;0.276;0.441;0.515489467;0.78314746;0.247353224;0.152542373;0.460504724;0.424633131;0.922103746;0.980282532;0.43317423;noise;0.519826518;0.799256506;0.264007597;0.149606299;-3.632179643;14.71461173;0.247;0.397
Plasab;-6.83258536;44.73730748;0.153;0.202;0.769230769;0.974358974;0.357142857;0.8;-7.062938471;60.87514223;0.117;0.153;0.939393939;1;0.666666667;1;0.72518315;0.901515152;1.243155127;2.07860262;0.433712121;Plasab;0.727272727;0.757575758;0.25;0;-7.049037058;63.43853864;0.112;0.146
Myomys;-5.507763046;17.82145051;0.31;0.433;0.606498195;0.736462094;0.273333333;0.197802198;-5.432337684;17.72688044;0.307;0.431;0.56133829;0.732342007;0.248407643;0.191011236;0.453523955;0.433274794;0.955351508;0.966865126;0.448123303;Myomys;0.594795539;0.73605948;0.268456376;0.193181818;-5.393767643;17.38505824;0.311;0.437
Confus;-6.169639483;18.42093366;0.335;0.455;0.676767677;0.848484848;0.36;0.347826087;-6.952751002;47.33694267;0.147;0.194;0.630434783;0.891304348;0.291666667;0.375;0.558269653;0.547101449;0.979994965;1.172490294;0.466614907;Confus;0.630434783;0.760869565;0.260869565;0.214285714;-6.876458914;31.60435878;0.218;0.288
Ptepon;-7.332424548;64.49138524;0.114;0.148;0.609756098;0.829268293;0.333333333;0.125;-7.082820808;47.05481086;0.151;0.198;0.609756098;0.756097561;0.304347826;0.090909091;0.474339431;0.440277644;0.928191112;0.928191112;0.474339431;Ptepon;0.609756098;0.829268293;0.333333333;0.125;-7.172669627;62.90935519;0.115;0.149
Phogri;-4.456753937;12.95786701;0.344;0.514;0.701818182;0.887272727;0.305084746;0.261904762;-4.585179837;13.18820322;0.348;0.515;0.620283019;0.849056604;0.268181818;0.272727273;0.539020104;0.502562178;0.932362586;1.004408708;0.500356254;Phogri;0.627358491;0.870283019;0.300884956;0.202898551;-4.630113081;12.87022437;0.36;0.531
Mussp;-6.750199027;19.24574917;0.351;0.465;0.660714286;0.839285714;0.344827586;0.181818182;-6.582703206;18.68706535;0.353;0.47;0.654545455;0.854545455;0.296296296;0.2;0.506661442;0.501346801;0.989510469;0.993969109;0.504388715;Mussp;0.654545455;0.836363636;0.344827586;0.181818182;-6.596767575;18.89450545;0.35;0.466
Plaalb;-5.649746181;22.57201572;0.251;0.348;0.652920962;0.828178694;0.391566265;0.253731343;-5.514207527;22.73820373;0.243;0.34;0.692;0.828;0.3984375;0.25862069;0.531599316;0.544264547;1.02382477;1.066594672;0.510282455;Plaalb;0.628;0.812;0.371621622;0.229508197;-5.685222309;23.69551957;0.24;0.333
Tyllil;-6.829023273;60.99570472;0.112;0.148;0.85;0.875;0.333333333;0;-6.706935787;61.38977365;0.11;0.146;0.85;0.85;0.142857143;0;0.514583333;0.460714286;0.895315211;0.895315211;0.514583333;Tyllil;0.85;0.875;0.333333333;0;-6.659825718;58.57251427;0.114;0.152
Myoalc;-6.759437431;27.82530968;0.243;0.322;0.728571429;0.771428571;0.269230769;0.304347826;-6.718265713;26.44853222;0.255;0.338;0.720588235;0.75;0.387096774;0.19047619;0.518394649;0.5120403;0.987742256;0.994797389;0.514718178;Myoalc;0.720588235;0.764705882;0.269230769;0.304347826;-6.667536504;27.34986783;0.244;0.325
Epheph;-5.60465571;21.54293117;0.261;0.363;0.720930233;0.813953488;0.376623377;0.238095238;-5.587189463;21.99282213;0.255;0.354;0.691275168;0.812080537;0.333333333;0.151515152;0.537400584;0.497051047;0.924917208;0.940313072;0.528601656;Epheph;0.704697987;0.798657718;0.38028169;0.230769231;-5.597321386;20.80170383;0.27;0.375
Rhieur;-6.750800216;25.67017725;0.263;0.349;0.693548387;0.903225806;0.321428571;0.333333333;-6.609080848;23.93395239;0.277;0.368;0.580645161;0.806451613;0.277777778;0.2;0.562884025;0.466218638;0.828267667;0.837617387;0.556600956;Rhieur;0.693548387;0.903225806;0.296296296;0.333333333;-6.580831133;25.27691842;0.261;0.348
Plaaff;-6.296266962;29.87082452;0.211;0.285;0.806818182;0.897727273;0.484848485;0.307692308;-6.531023615;30.95852806;0.211;0.282;0.796875;0.828125;0.434782609;0.153846154;0.624271562;0.553407191;0.886484704;0.989726233;0.559151786;Plaaff;0.734375;0.859375;0.392857143;0.25;-6.641111541;31.74061749;0.21;0.279
MyoGT;-6.013132083;13.20420935;0.456;0.622;0.684684685;0.918918919;0.416666667;0.307692308;-5.912227382;13.0765132;0.453;0.621;0.682692308;0.884615385;0.365384615;0.294117647;0.581990644;0.556702489;0.956548862;0.980722839;0.567645074;MyoGT;0.663461538;0.913461538;0.385964912;0.307692308;-5.9330197;13.09016436;0.454;0.622
Isopyr;-6.361463821;30.07422199;0.212;0.285;0.711711712;0.846846847;0.466666667;0.37037037;-6.19941515;31.5831722;0.197;0.266;0.636363636;0.848484848;0.379310345;0.318181818;0.598898899;0.545585162;0.910980406;0.918905907;0.593733436;Isopyr;0.676767677;0.858585859;0.448275862;0.391304348;-6.310680986;30.80716235;0.205;0.277
Cyrscu;-6.763537187;55.63798439;0.122;0.162;0.835820896;0.910447761;0.45;0.142857143;-6.635833896;51.68529985;0.129;0.171;0.776119403;0.895522388;0.347826087;0.222222222;0.58478145;0.560422525;0.95834525;0.942783674;0.594433846;Cyrscu;0.850746269;0.910447761;0.473684211;0.142857143;-6.596618154;54.05258862;0.123;0.163
Urorug;-6.177135085;33.51952723;0.185;0.25;0.73553719;0.842975207;0.396226415;0.366666667;-5.954931596;31.31543234;0.191;0.261;0.765217391;0.860869565;0.413043478;0.384615385;0.58535137;0.605936455;1.035167057;1.009464897;0.600255102;Urorug;0.747826087;0.852173913;0.408163265;0.392857143;-6.093067199;33.74516056;0.181;0.246
Plemac;-6.927928622;34.32308744;0.202;0.266;0.828571429;0.914285714;0.454545455;0.25;-6.757381994;34.8871726;0.194;0.257;0.8;0.942857143;0.222222222;0.5;0.611850649;0.616269841;1.007222664;1.007222664;0.611850649;Plemac;0.828571429;0.914285714;0.454545455;0.25;-6.730987907;33.76365591;0.2;0.265
Aposp;-6.427214849;17.75173966;0.363;0.486;0.731343284;0.910447761;0.419354839;0.4;-6.347590193;17.42238048;0.365;0.491;0.712121212;0.924242424;0.457142857;0.375;0.615286471;0.617126623;1.002990725;0.984131778;0.627077224;Aposp;0.712121212;0.909090909;0.387096774;0.5;-6.254850911;17.50488803;0.358;0.483
Eupsp;-6.449263369;44.83019059;0.144;0.193;0.975609756;0.975609756;0;0;-6.390159464;46.90293532;0.137;0.184;0.975609756;1;0.666666667;NaN;0.487804878;0.880758808;1.805555556;1.33744856;0.658536585;Eupsp;0.975609756;1;0;NaN;-6.269735303;42.02284175;0.15;0.202
Myocap;-5.595441093;26.84231882;0.209;0.291;0.860927152;0.947019868;0.603773585;0.333333333;-5.509789821;26.97579739;0.205;0.286;0.847682119;0.940397351;0.566037736;0.25;0.686263485;0.651029302;0.948657937;0.970075533;0.671111969;Myocap;0.860927152;0.947019868;0.603773585;0.272727273;-5.426781253;25.87586342;0.21;0.295
Nyclas;-6.991660694;45.47414128;0.154;0.203;0.821428571;1;0.375;1;-7.19386406;63.34689222;0.114;0.149;0.769230769;0.961538462;0.4;0.666666667;0.799107143;0.699358974;0.875175476;0.904322084;0.773351648;Nyclas;0.807692308;1;0.285714286;1;-6.936656805;47.35606046;0.147;0.193
Pleaur;-5.970916717;18.61510204;0.321;0.439;0.79245283;0.943396226;0.435897436;0.4;-6.005379095;19.61763268;0.307;0.419;0.797752809;0.988764045;0.454545455;0.666666667;0.642936623;0.726932244;1.130643702;0.934595917;0.777803787;Pleaur;0.853932584;0.988764045;0.518518519;0.75;-5.940304196;19.21162101;0.31;0.424
Decalb;-6.26328128;41.46237641;0.152;0.205;0.918918919;0.972972973;0.666666667;0.666666667;-6.146747664;47.78079953;0.129;0.175;0.904109589;1;0.5;1;0.806306306;0.851027397;1.055464146;1.078247035;0.789269406;Decalb;0.917808219;0.97260274;0.666666667;0.6;-6.108989447;40.27878201;0.152;0.207
Eptnil;-7.09881739;39.42396532;0.181;0.236;0.96;1;0.666666667;NaN;-6.900807963;40.69349629;0.17;0.224;1;1;1;NaN;0.875555556;1;1.14213198;1.14213198;0.875555556;Eptnil;0.96;1;0.666666667;NaN;-6.923361423;38.13078002;0.182;0.24
Inssp7;-7.15594089;89.73266508;0.08;0.105;0.958333333;1;0.75;1;-6.810368524;64.66269367;0.106;0.14;1;1;1;1;0.927083333;1;1.078651685;1.107692308;0.902777778;Inssp7;0.958333333;1;0.75;NaN;-6.988297976;86.69935725;0.081;0.106
Phofem;-6.284700415;37.71118876;0.167;0.225;0.987804878;1;0.875;1;-6.057110807;32.87618686;0.185;0.252;1;1;1;1;0.96570122;1;1.035516969;1.063400576;0.940379404;Phofem;0.987804878;1;0.833333333;NaN;-6.117618555;36.21632879;0.169;0.23
amph;-6.613007553;29.60649332;0.224;0.298;1;1;NaN;NaN;-6.453524869;25.19228889;0.257;0.344;1;1;NaN;NaN;1;1;1;1;1;amph;1;1;NaN;NaN;-6.428283677;29.23542026;0.22;0.296
Antius;-7.209034432;44.45763374;0.163;0.212;1;1;NaN;NaN;-7.093154616;62.64559091;0.114;0.149;1;1;NaN;NaN;1;1;1;1;1;Antius;1;1;NaN;NaN;-7.030447669;42.62283057;0.165;0.217
Antped;-7.383650573;54.11490894;0.137;0.178;1;1;NaN;NaN;-7.366972966;95.90806245;0.077;0.1;1;1;NaN;NaN;1;1;1;1;1;Antped;1;1;NaN;NaN;-7.338949392;77.28965393;0.095;0.124
Barfis;-7.280210474;79.98729907;0.092;0.119;1;1;NaN;NaN;-7.119002646;79.79382786;0.09;0.117;1;1;NaN;NaN;1;1;1;1;1;Barfis;1;1;NaN;NaN;-7.164452894;77.53293265;0.093;0.121
Barser;-6.900683371;57.16826361;0.121;0.16;1;1;NaN;NaN;-6.747200288;67.29234702;0.101;0.133;1;1;NaN;NaN;1;1;1;1;1;Barser;1;1;NaN;NaN;-6.720980361;53.61251354;0.126;0.167
Bicbic;-7.003205608;-42.11519506;Inf;Inf;1;1;NaN;NaN;-6.840974246;-3251.15631;Inf;Inf;1;1;NaN;NaN;1;1;1;1;1;Bicbic;1;1;NaN;NaN;-6.88877136;-34.19678581;Inf;Inf
Concon;-7.03108139;9.716391437;0.724;0.95;1;1;NaN;NaN;-6.896771627;28.02818149;0.247;0.325;1;1;NaN;NaN;1;1;1;1;1;Concon;1;1;NaN;NaN;-6.837427338;0.725449539;Inf;Inf
Corcho;-6.078521756;46.46199314;0.131;0.179;1;1;NaN;NaN;-5.943690586;58.34822938;0.102;0.14;1;1;NaN;NaN;1;1;1;1;1;Corcho;1;1;NaN;NaN;-5.896190668;43.50768289;0.136;0.187
gril;-7.555488435;57.43438716;0.132;0.17;1;1;NaN;NaN;-7.314404425;53.32962265;0.138;0.179;1;1;NaN;NaN;1;1;1;1;1;gril;1;1;NaN;NaN;-7.374075354;55.22552599;0.134;0.174
Lyrple;-7.395620042;44.41474239;0.167;0.216;1;1;1;1;-7.224794267;31.41678532;0.23;0.3;1;1;1;1;1;1;1;1;1;Lyrple;1;1;1;1;-7.218299801;43.07791371;0.168;0.219
Metsau;-7.263224642;32.44449421;0.224;0.292;1;1;NaN;NaN;-7.167714665;52.63620533;0.137;0.178;1;1;NaN;NaN;1;1;1;1;1;Metsau;1;1;NaN;NaN;-7.077134949;26.37920707;0.269;0.352
Myobra;-7.352433699;50.75933419;0.145;0.189;1;1;NaN;NaN;-7.175938172;49.8921739;0.144;0.188;1;1;NaN;NaN;1;1;1;1;1;Myobra;1;1;NaN;NaN;-7.173365265;48.37787777;0.149;0.194
Phafal;-7.544411986;62.8376307;0.121;0.156;0.947368421;1;0.8;1;-7.721059773;59.19348597;0.131;0.168;1;1;1;1;0.936842105;1;1.06741573;1;1;Phafal;1;1;1;1;-7.751398334;62.73816799;0.124;0.159
Ptebon;-7.104430767;-90.42057688;Inf;Inf;1;1;NaN;NaN;-6.864251121;-3122.119677;Inf;Inf;1;1;NaN;NaN;1;1;1;1;1;Ptebon;1;1;NaN;NaN;-6.909678589;-107.7304759;Inf;Inf
Pteger;-6.806622284;87.05551581;0.079;0.104;1;1;1;1;-6.626389738;84.39747813;0.079;0.105;1;1;1;1;1;1;1;1;1;Pteger;1;1;1;1;-6.671816986;87.04908905;0.077;0.102
Sepsep;-6.572236956;44.50635929;0.148;0.198;1;1;NaN;NaN;-6.457679388;46.23209872;0.14;0.188;0.970588235;1;0;NaN;1;0.656862745;0.656862745;0.656862745;1;Sepsep;1;1;NaN;NaN;-6.413986714;41.92249556;0.153;0.206
Tetcan;-6.224979865;31.00464875;0.201;0.272;1;1;NaN;NaN;-6.073393155;34.28510365;0.178;0.242;1;1;NaN;NaN;1;1;1;1;1;Tetcan;1;1;NaN;NaN;-6.040290768;29.26243379;0.207;0.282
Ratnor;-7.634127214;58.5655848;0.131;0.168;1;1;1;NaN;;;;;;;;;1;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;;;;;;
